open_nutrition_id,name_pl,alternate_names_pl
fd_0MdoXWwcd9nj,Klementynki,"[""klementynka"", ""mandarynki klementynki"", ""cytrusy klementynki""]"
fd_0MgP84myQBAY,Manti wegetariańskie,"[""manty wegetariańskie"", ""ormiańskie pierożki wegetariańskie"", ""manti warzywne""]"
fd_0MznyteT7fDi,Precelki o smaku jalapeño,"[""precle jalapeno"", ""precelki pikantne"", ""precle ostre""]"
fd_0N7XCjKTFQwr,Krakersy solone,"[""krakersy sodowe"", ""saltines"", ""krakersy słone""]"
fd_0Ng6ErQNjHkk,Hokkien mee,"[""singapurski makaron hokkien"", ""makaron hokkien"", ""smażony makaron z krewetkami""]"
fd_0NrRUl5wcKNj,Musztarda żółta,"[""musztarda amerykańska"", ""musztarda łagodna"", ""musztarda stołowa""]"
fd_0PN1pghKOJOu,Lody waniliowe,"[""lody wanilia"", ""lody o smaku waniliowym"", ""lód waniliowy""]"
fd_0POAC3hMLLDI,Łosoś w ziołowej panierce,"[""łosoś zapiekany z ziołami"", ""filet z łososia z ziołami"", ""łosoś ziołowy""]"
fd_0PdRVvplL77r,Jogurt brzoskwiniowy słodzony,"[""jogurt z brzoskwinią"", ""jogurt owocowy brzoskwiniowy"", ""jogurt brzoskwiniowy""]"
fd_0PgjVnwVo3zt,Mus owocowy,"[""mus z owoców"", ""deser owocowy"", ""owocowa pianka""]"
fd_0Pkbg95fa6Hz,Kozina z grilla,"[""koźlina grillowana"", ""mięso kozie grillowane"", ""koza z grilla""]"
fd_0QPcMyTZPUwY,"Krewetki tygrysie, surowe","[""krewetka tygrysia"", ""surowe krewetki""]"
fd_0QV6mpLezHs1,Wegańskie mini precelki,"[""precelki wegańskie"", ""kawałki precli"", ""precle roślinne""]"
fd_0QdbBNNp9bfK,Pastrami pikantne,"[""ostre pastrami"", ""pastrami"", ""wędlina pastrami""]"
fd_0QgimTYd2z3C,Makaron z serem,"[""makaron zapiekany z serem"", ""kolanka z serem"", ""makaron serowy""]"
fd_0RCyHTRp7SSn,Chleb z rodzynkami,"[""pieczywo z rodzynkami"", ""chałka z rodzynkami"", ""bułka z rodzynkami""]"
fd_0RNBsdEosHj9,Galaretka jabłkowa bez cukru,"[""dżem jabłkowy bez cukru"", ""galaretka z jabłek bez cukru"", ""konfitura jabłkowa bez cukru""]"
fd_0SRtmzBPCMc0,Chutney,"[""czatni"", ""sos chutney"", ""indyjski chutney""]"
fd_0SbYA2WtgPg3,Tom yum goong,"[""tom yum z krewetkami"", ""tajska zupa ostro-kwaśna""]"
fd_0ShJ9qwuYMWw,Cukier demerara,"[""cukier trzcinowy demerara"", ""cukier trzcinowy nierafinowany"", ""cukier turbinado""]"
fd_0TER9xdfmpxz,Sałatka z ćwiartki lodowej,"[""sałata lodowa z sosem z serem pleśniowym"", ""ćwiartka sałaty lodowej""]"
fd_0TTWYlBysLZT,Kiełbasa z łosia,"[""kiełbasa z dziczyzny"", ""łoś kiełbasa"", ""kiełbasa z mięsa łosia""]"
fd_0TewGQOXVyZq,Ayam taliwang,"[""kurczak z grilla po lombocku"", ""indonezyjski pikantny kurczak"", ""ayam taliwang z lomboku""]"
fd_0Tw9EXuPNOsD,Pierś kaczki w sosie jagodowym,"[""kaczka z sosem z owoców leśnych"", ""filet z kaczki w sosie owocowym"", ""pierś z kaczki""]"
fd_0TwzfofmyX2v,La'hoh,"[""lahoh"", ""jemeński placek chlebowy"", ""lahuh""]"
fd_0UMfKunauTvH,Popcorn do mikrofalówki chili z limonką,"[""popcorn mikrofalowy"", ""popcorn pikantny"", ""prażona kukurydza chili""]"
fd_0UTQGpjL0B2s,Tamago nigiri,"[""nigiri z omletem"", ""sushi z jajkiem"", ""tamago sushi""]"
fd_0UaTV98jAHJx,Żelki winne,"[""cukierki żelowe"", ""żelki owocowo-winne""]"
fd_0UgbOMdmSzrH,Baingan bharta,"[""pieczony bakłażan po indyjsku"", ""curry z bakłażana"", ""bharta z bakłażana""]"
fd_0VcpI6db3RGo,Zielony sok,"[""sok warzywny zielony"", ""sok detoks"", ""koktajl z zielonych warzyw""]"
fd_0Vq4YSJB4FR9,Papryka żółta,"[""żółta papryka"", ""papryka słodka żółta"", ""papryki żółte""]"
fd_0WioSRzdBw95,Muffiny angielskie niskokaloryczne,"[""muffinki angielskie light"", ""angielskie bułeczki light"", ""muffin angielski niskokaloryczny""]"
fd_0WnJHCOlLib5,Deserek truskawkowy dla niemowląt,"[""mus truskawkowy dla dzieci"", ""truskawki dla niemowląt"", ""przecier truskawkowy dla dzieci""]"
fd_0WopvSWYhzjL,"Napój z orzechów makadamia, słodzony","[""mleko makadamia"", ""napój makadamia"", ""mleko z orzechów makadamia""]"
fd_0WvJyErQjpvt,"Kotlet z peklowanej wołowiny, gotowany","[""burger z peklowanej wołowiny"", ""peklowana wołowina w kotlecie""]"
fd_0XS3jugYr3bm,Semovita,"[""nigeryjska semolina"", ""kaszka semolinowa semovita"", ""semo""]"
fd_0XhoKjBDcMCq,Makaron singapurski,"[""makaron ryżowy z curry"", ""smażony makaron ryżowy z curry""]"
fd_0Xo7a1s4mBuN,Zupa z małży błyskawiczna,"[""błyskawiczna zupa rybna z małżami"", ""chowder z małży instant"", ""zupa instant z małżami""]"
fd_0XtasZCHq3Qb,Mąka z orzechów arachidowych,"[""mąka orzechowa"", ""mąka z orzeszków ziemnych"", ""odtłuszczona mąka arachidowa""]"
fd_0YEWem6hZTnR,Lambrusco,"[""wino lambrusco"", ""wino musujące lambrusco"", ""czerwone lambrusco""]"
fd_0YSRwnrao0RP,Burek,"[""börek"", ""bałkański pieróg z ciasta filo"", ""burek z serem""]"
fd_0YsLvRO1egiN,Tacu tacu z kurczakiem,"[""tacu tacu con pollo"", ""peruwiański placek z ryżu i fasoli z kurczakiem"", ""ryż z fasolą po peruwiańsku z kurczakiem""]"
fd_0ZDKuPlvKWy8,"Wołowina mielona (95% chudego mięsa), surowa","[""mięso mielone wołowe chude"", ""chuda wołowina mielona"", ""mielona wołowina""]"
fd_0ZIAjQvjEp5w,Młoda fasolka szparagowa,"[""fasolka szparagowa"", ""fasolka zielona"", ""młoda fasolka""]"
fd_0ZMZQsHDLHvD,Ciasto filo,"[""ciasto fillo"", ""płaty filo"", ""ciasto francuskie filo""]"
fd_0Zhqcb7CoP9c,Wino Zinfandel,"[""zinfandel"", ""czerwone wino zinfandel"", ""wino czerwone zinfandel""]"
fd_0atcxifykYVb,"Udziec z indyka, gotowany","[""udo z indyka"", ""pieczone udo indyka"", ""podudzie indyka""]"
fd_0au21ZtUTxfk,Kapusta kiszona,"[""kiszona kapusta"", ""kapusta kwaszona"", ""kiszonka z kapusty""]"
fd_0bwxioJWPSrA,Płatki kukurydziane miodowe,"[""płatki miodowe"", ""cornflakes z miodem"", ""płatki kukurydziane z miodem""]"
fd_0cV6s4N1tAxN,Zupa z wołowiną i makaronem,"[""niu rou mian"", ""chińska zupa wołowa"", ""tajwańska zupa z makaronem"", ""zupa makaronowa z wołowiną""]"
fd_0coWnFOVEhQk,Ravioli z homarem,"[""ravioli z owocami morza"", ""makaron z homarem"", ""pierożki z homarem""]"
fd_0d1qiuqP5MF1,Ryż jollof z kurczakiem,"[""jollof"", ""ryż jollof"", ""zachodnioafrykański ryż z kurczakiem""]"
fd_0dSucYyiycdl,"Pizza hawajska, kawałek","[""kawałek pizzy hawajskiej"", ""pizza z szynką i ananasem"", ""hawajska""]"
fd_0dofulj5k9cy,Morele czarne,"[""czarna morela"", ""morela czarna"", ""świeże czarne morele""]"
fd_0e5YGuhdnNNx,Humita,"[""humitas"", ""kukurydziane tamale"", ""argentyńskie tamale z kukurydzy""]"
fd_0eG6GrckhEMo,"Polędwiczka wieprzowa Berkshire, surowa","[""polędwiczka wieprzowa"", ""schab środkowy berkshire"", ""polędwica wieprzowa surowa""]"
fd_0f7jtB2aErXm,Sałatka z jarmużem i quinoą,"[""sałatka z jarmużu"", ""sałatka z komosą ryżową"", ""jarmuż z quinoą""]"
fd_0fHcEl8gvW3f,Zupa z kluskami macowymi,"[""kulki macowe"", ""rosół z kluskami macowymi"", ""zupa macowa""]"
fd_0fKWJXOoSJya,"Boczek wieprzowy, surowy","[""boczek surowy"", ""surowy boczek"", ""podgardle"", ""boczek świeży""]"
fd_0fYiVZtYZmN7,Chleb pełnoziarnisty,"[""chleb razowy"", ""pieczywo pełnoziarniste"", ""chleb z pełnego ziarna""]"
fd_0g96ZKk0T0zQ,Pędy grochu,"[""kiełki grochu"", ""wąsy grochowe"", ""młode pędy grochu""]"
fd_0gFeh06nJTbI,Seler naciowy w słupkach,"[""seler naciowy"", ""łodygi selera"", ""słupki z selera""]"
fd_0gNxFFqSddlo,"Rostbef przyprawiony, w plastrach","[""wołowina w plastrach"", ""pieczona wołowina w plastrach"", ""wędlina wołowa""]"
fd_0gk5LSW2HVhO,Kefir,"[""napój kefirowy"", ""mleko fermentowane"", ""kefir naturalny""]"
fd_0h533kuIyssM,Rasgulla,"[""indyjskie kulki serowe w syropie"", ""rosogolla"", ""deser rasgulla""]"
fd_0h9jWmdeLipI,Ziemniaki białe,"[""kartofle białe"", ""ziemniaki jasne"", ""ziemniak biały""]"
fd_0hRDUhvJq8hb,Pieczywo chrupkie o niskiej zawartości sodu,"[""krakersy niskosodowe"", ""pieczywo chrupkie bez soli"", ""chrupkie placki niesolone""]"
fd_0htQChtc31AC,Płatki Cheerios klasyczne,"[""cheerios"", ""płatki cheerios"", ""kółeczka owsiane""]"
fd_0ilthkiz5i17,Krakersy do zup bezglutenowe,"[""bezglutenowe krakersy"", ""małe krakersy bezglutenowe"", ""krakersy do zupy""]"
fd_0jhRmPeHOm4H,Ciasto francuskie,"[""ciasto francuskie mrożone"", ""płat ciasta francuskiego"", ""francuskie ciasto""]"
fd_0jx2GUmharYt,Chipsy pita z cukrem i cynamonem,"[""chipsy z pity cynamonowe"", ""czipsy pita na słodko"", ""chrupki pita z cynamonem""]"
fd_0k9gNuS5xmY8,Masło od krów z chowu pastwiskowego,"[""masło pastwiskowe"", ""masło ekologiczne"", ""masło z mleka krów pasionych""]"
fd_0kGcxntNJWzv,Kasza manna na mleku,"[""manna"", ""kaszka manna"", ""kasza semolinowa""]"
fd_0kGfbOpKDIjZ,Krab z callaloo,"[""callaloo z krabem"", ""karaibski gulasz z krabem"", ""liście callaloo z krabem""]"
fd_0kaguZmF3O25,Napój lniany niesłodzony,"[""mleko lniane"", ""napój z siemienia lnianego"", ""mleko z lnu bez cukru""]"
fd_0knYEZlsiEjD,Sos słodko-kwaśny miodowo-czosnkowy,"[""sos miodowo-czosnkowy"", ""sos słodko-kwaśny"", ""sos czosnkowo-miodowy""]"
fd_0lK3RBkdpCTD,Koktajl mango ze szpinakiem,"[""smoothie mango szpinak"", ""zielony koktajl z mango"", ""shake z mango i szpinakiem""]"
fd_0mJcGDG2eKzR,"Grzyby maitake, suszone","[""maitake"", ""żagwica listkowata"", ""suszone maitake""]"
fd_0nZ75anhs5mg,Sałatka Cobb ze smażonym kurczakiem,"[""cobb z kurczakiem"", ""sałatka cobb"", ""sałatka z panierowanym kurczakiem""]"
fd_0oYXEv77w53U,Krakersy pszenne o obniżonej zawartości tłuszczu,"[""krakersy light"", ""krakersy pszenne lekkie"", ""herbatniki pszenne niskotłuszczowe""]"
fd_0p6R5u28zv80,Lasagne warzywna,"[""lasagne wegetariańska"", ""lasagna z warzywami"", ""lasagne bezmięsna""]"
fd_0pYdkENGmGGp,Maheberawi,"[""etiopski półmisek mięsny"", ""mahberawi"", ""zestaw etiopski z injerą""]"
fd_0q0TzjaOjxXa,Pad thai wegański,"[""pad thai z tofu"", ""wegetariański pad thai"", ""makaron pad thai bez mięsa""]"
fd_0qEtuXYwOTGn,Batony proteinowe granola,"[""baton białkowy"", ""baton proteinowy"", ""baton musli z białkiem""]"
fd_0qzYk96aaBnj,Sambusa z wołowiną,"[""sambussa"", ""etiopska samosa z mięsem"", ""pierożki sambusa""]"
fd_0tJDtN2YzKXM,Wątróbka z indyka,"[""wątróbka indycza"", ""wątroba indyka"", ""podroby z indyka""]"
fd_0tZuMh9GjuH0,Espresso,"[""kawa espresso"", ""mała czarna"", ""ekspres kawa""]"
fd_0teHJgusOly8,Ketchup wędzony,"[""ketchup o smaku wędzonym"", ""sos pomidorowy wędzony"", ""ketchup bbq""]"
fd_0txEoVHzIzEx,Tort Schwarzwaldzki,"[""tort szwarcwaldzki"", ""ciasto czarny las"", ""tort czereśniowy z kremem""]"
fd_0uK3AQsCdtRK,"Wędzony mostek wołowy, część tłusta","[""mostek wołowy wędzony"", ""brisket wędzony"", ""wędzona wołowina z mostka""]"
fd_0uR5kRntI9f7,Makaroniki bezglutenowe,"[""macarons bezglutenowe"", ""francuskie makaroniki"", ""ciastka migdałowe bezglutenowe""]"
fd_0uy2Jg0DOJt7,Miód eukaliptusowy,"[""miód z eukaliptusa"", ""miód kwiatowy eukaliptusowy""]"
fd_0vRUGkwIbhRJ,Krakersy żytnie z kminkiem,"[""krakersy żytnie"", ""pieczywo chrupkie żytnie z kminkiem"", ""krakers z kminkiem""]"
fd_0vcgxT8yEoab,Halawat al jibn,"[""libański deser serowy"", ""roladki serowe z semoliny"", ""halawet el jibn""]"
fd_0vo8LcegyvvX,Ser provolone tradycyjny,"[""provolone"", ""ser włoski provolone"", ""provolone dojrzewający""]"
fd_0wQrznKVnG5R,Sayur asem,"[""indonezyjska zupa warzywna z tamaryndowcem"", ""kwaśna zupa warzywna"", ""sayur asam""]"
fd_0wnyHIcqM6Cg,Chipsy pita pełnoziarniste,"[""chipsy z chleba pita"", ""chrupki pita"", ""pieczywo pita chipsy""]"
fd_0xCfsIly0DaQ,Madártej,"[""węgierski deser z bezami"", ""ptasie mleczko węgierskie""]"
fd_0xwdL4nEM7aF,Pomarańcza gorzka,"[""pomarańcza sewilska"", ""bigarada"", ""gorzka pomarańcza""]"
fd_0yOrYwcaTwtl,Tarta z masą jajeczną,"[""tarta custard"", ""placek z kremem jajecznym"", ""ciasto z masą jajeczno-mleczną""]"
fd_0yz0UJ4BUqEz,Mahón,"[""ser mahon"", ""hiszpański ser z minorki"", ""queso mahon""]"
fd_0zphcZI0n6Tj,Tamalitos de chipilín,"[""gwatemalskie mini tamales"", ""tamales z chipilin"", ""tamalitos""]"
fd_0ztaEKi6BsJL,Cappuccino,"[""kawa cappuccino"", ""kawa z mleczną pianką""]"
fd_10ks9L0PqBtT,Suflet szpinakowy,"[""suflet ze szpinakiem"", ""zapiekany suflet szpinakowy"", ""szpinakowy suflet""]"
fd_10zbKPe5CB5v,Winogrona,"[""winogrono"", ""grona"", ""winogrona deserowe""]"
fd_11dLWUGRVXt5,Krakersy owsiane pełnoziarniste,"[""krakersy owsiane"", ""ciastka owsiane pełnoziarniste"", ""krakersy pełnoziarniste""]"
fd_12AJPNmezwE1,Empanada de pollo,"[""empanada z kurczakiem"", ""pieróg z kurczakiem"", ""empanady wenezuelskie""]"
fd_12D7VXbyDmII,Kafta kebab,"[""kofta kebab"", ""szaszłyki z mięsa mielonego"", ""kafta""]"
fd_12Hruxx7qF88,Makdous,"[""marynowane bakłażany faszerowane orzechami"", ""makdouss"", ""bakłażany makdous""]"
fd_12tFAYuLm8C6,Ser kefalotyri,"[""kefalotyri"", ""grecki ser twardy"", ""ser grecki do tarcia""]"
fd_1373TTDyLOlX,"Kobia, hodowlana, surowa","[""kobia"", ""ryba kobia"", ""kobia surowa""]"
fd_13jdc1i2Gr20,"Żołądki indycze, surowe","[""żołądki z indyka"", ""podroby indycze"", ""surowe żołądki indyka""]"
fd_15TFt2M5UbJB,Schiacciata,"[""włoski placek chlebowy"", ""chleb schiacciata"", ""focaccia toskańska""]"
fd_16FBVTpJ0YmJ,Chipsy precelkowe pełnoziarniste,"[""precelki pełnoziarniste"", ""chipsy z precelków"", ""krakersy precelkowe""]"
fd_16LC2jxqLM5l,"Makrela w przyprawach, konserwowa","[""makrela pikantna w puszce"", ""konserwa z makreli"", ""makrela przyprawiona""]"
fd_16mJJj9epGco,"Skrzydełko z indyka, gotowane","[""skrzydła indycze"", ""skrzydełka indyka"", ""skrzydełko indycze pieczone""]"
fd_174ch9JziL9P,Masło z mielonego siemienia lnianego,"[""pasta z siemienia lnianego"", ""masło lniane"", ""smarowidło z lnu""]"
fd_17nTSURcISzc,Klasyczne fondue czekoladowe,"[""fondue z czekolady"", ""czekoladowe fondue"", ""szwajcarskie fondue czekoladowe""]"
fd_17wCpl39dgVE,Pudding,"[""budyń"", ""deser budyniowy"", ""pudding waniliowy""]"
fd_17wrpWYAHEmq,Herbata rumiankowa,"[""rumianek"", ""napar z rumianku"", ""herbatka z rumianku""]"
fd_18U25pvfbDJU,"Masło ze słonecznika, solone","[""pasta słonecznikowa"", ""masło słonecznikowe"", ""krem z nasion słonecznika""]"
fd_18UZlRj2KOAR,Koper,"[""koperek"", ""świeży koperek"", ""zielenina koperkowa""]"
fd_190HjrFTs8ex,"Zielony barwnik spożywczy, żelowy","[""barwnik zielony w żelu"", ""żel barwiący zielony"", ""barwnik do ciast zielony""]"
fd_19JP3LPaPmj0,Muszla taco kukurydziana,"[""taco"", ""muszelki taco"", ""tortilla taco chrupiąca""]"
fd_19lcGhHX5o8y,Skrzydełka jerk po jamajsku,"[""skrzydełka z przyprawą jerk"", ""jamajskie skrzydełka"", ""pikantne skrzydełka jerk""]"
fd_19u4AoaCfSv8,Bajgiel z otrębami owsianymi,"[""bajgiel otręby"", ""obwarzanek z otrębami owsianymi"", ""bajgiel owsiany""]"
fd_1BR31lQZNcew,"Tuńczyk jasny w oleju z puszki, odsączony","[""tuńczyk w oleju"", ""tuńczyk konserwowy"", ""konserwa z tuńczyka""]"
fd_1BfQn8Vmg3Xv,Zupa z jarmużu,"[""zupa jarmużowa"", ""krem z jarmużu"", ""zupa warzywna z jarmużem""]"
fd_1BpbiTeiDDsv,Sorbet limonkowy,"[""sorbet z limonki"", ""lody limonkowe"", ""sherbet limonkowy""]"
fd_1COHKthRpf7C,Pita,"[""chlebek pita"", ""pieczywo pita"", ""placek pita""]"
fd_1CkNlAN81LiR,"Tuńczyk biały, gotowany","[""tuńczyk albacore"", ""tuńczyk długopłetwy"", ""tuńczyk gotowany""]"
fd_1CvbV8xZrH3F,Zapiekanka pasterska z jagnięciną,"[""zapiekanka pasterska"", ""zapiekanka z mięsem mielonym i ziemniakami""]"
fd_1D0LGoFZ2mUi,Chuletas de puerco,"[""kotlety schabowe po kubańsku"", ""kubańskie kotlety z wieprzowiny"", ""chuletas""]"
fd_1DOqx1ggmcRX,Masło pistacjowe,"[""pasta pistacjowa"", ""krem z pistacji"", ""masło z pistacji""]"
fd_1Fwy61wXjfrR,Curry massaman,"[""massaman"", ""tajskie curry massaman"", ""masaman""]"
fd_1G45s3opQHXV,Tataki z tuńczyka,"[""tuńczyk tataki"", ""podpiekany tuńczyk"", ""tuńczyk w pieprzu""]"
